Z轴位置(mm),工况1磁栅误差E(mm),工况1激光实测E(mm),工况2磁栅误差E(mm),工况2激光实测E(mm),工况3磁栅误差E(mm),工况3激光实测E(mm),工况4磁栅误差E(mm),工况4激光实测E(mm),工况5磁栅误差E(mm),工况5激光实测E(mm),工况6磁栅误差E(mm),工况6激光实测E(mm),工况7磁栅误差E(mm),工况7激光实测E(mm),工况8磁栅误差E(mm),工况8激光实测E(mm),工况9磁栅误差E(mm),工况9激光实测E(mm)
0,-0.009,0.0006,-0.024,-0.0121,-0.029,-0.018,-0.009,0.0011,-0.019,-0.0098,-0.024,-0.0157,-0.009,-0.0036,-0.0188,-0.01,-0.0188,-0.0138
-10,-0.014,0.0007,-0.029,-0.0137,-0.034,-0.0184,-0.009,0.001,-0.024,-0.0106,-0.029,-0.016,-0.014,-0.0042,-0.0188,-0.0101,-0.0238,-0.0142
-20,-0.014,0.0014,-0.029,-0.014,-0.039,-0.0194,-0.009,0.0013,-0.024,-0.0103,-0.029,-0.0161,-0.014,-0.0041,-0.0188,-0.0109,-0.0238,-0.0143
-30,-0.019,0.0002,-0.039,-0.0152,-0.044,-0.0211,-0.019,0.0006,-0.029,-0.0112,-0.034,-0.0172,-0.019,-0.0044,-0.0288,-0.0119,-0.0337,-0.0157
-40,-0.024,-0.001,-0.044,-0.016,-0.049,-0.0225,-0.024,0.0003,-0.039,-0.0118,-0.044,-0.0183,-0.024,-0.0052,-0.0338,-0.0121,-0.0388,-0.0164
-50,-0.029,-0.0006,-0.049,-0.0169,-0.054,-0.0231,-0.034,0.0001,-0.044,-0.0133,-0.049,-0.0191,-0.034,-0.0057,-0.0438,-0.0129,-0.0438,-0.0176
-60,-0.039,-0.002,-0.054,-0.0182,-0.064,-0.0245,-0.034,-0.0006,-0.049,-0.013,-0.054,-0.0199,-0.039,-0.0058,-0.0438,-0.0132,-0.0538,-0.0179
-70,-0.039,-0.0013,-0.059,-0.0184,-0.074,-0.0253,-0.034,0.0003,-0.049,-0.0128,-0.059,-0.02,-0.039,-0.0056,-0.0488,-0.0138,-0.0538,-0.018
-80,-0.044,-0.0019,-0.069,-0.0192,-0.074,-0.0263,-0.044,-0.0003,-0.059,-0.0139,-0.064,-0.0213,-0.044,-0.0058,-0.0538,-0.0143,-0.0588,-0.0192
-90,-0.049,-0.0022,-0.069,-0.02,-0.074,-0.0276,-0.049,0.0004,-0.064,-0.0147,-0.069,-0.0223,-0.049,-0.0067,-0.0588,-0.015,-0.0638,-0.0199
-100,-0.054,-0.0021,-0.074,-0.0214,-0.084,-0.0285,-0.054,-0.0004,-0.069,-0.0145,-0.079,-0.0229,-0.059,-0.0066,-0.0688,-0.0156,-0.0688,-0.0197
-110,-0.054,-0.0023,-0.074,-0.0218,-0.084,-0.0294,-0.049,-0.0003,-0.069,-0.0145,-0.074,-0.0223,-0.054,-0.0057,-0.0638,-0.0158,-0.0688,-0.0206
-120,-0.054,-0.0028,-0.074,-0.0231,-0.089,-0.0304,-0.049,0,-0.064,-0.0148,-0.079,-0.0234,-0.054,-0.0058,-0.0638,-0.0162,-0.0738,-0.0216
-130,-0.059,-0.0037,-0.084,-0.0239,-0.089,-0.0321,-0.059,-0.0017,-0.074,-0.0163,-0.084,-0.0244,-0.059,-0.0072,-0.0738,-0.0173,-0.0788,-0.0225
