Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1模型拟合误差(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2模型拟合误差(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3模型拟合误差(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4模型拟合误差(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5模型拟合误差(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6模型拟合误差(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7模型拟合误差(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8模型拟合误差(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9模型拟合误差(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
0.000000,-0.009000,0.000600,-0.006089,0.006689,-6.348857,0.006847,-0.024000,-0.012100,-0.014954,0.002854,0.915310,0.001880,-0.029000,-0.018000,-0.017909,-0.000091,0.791962,0.003580,-0.009000,0.001100,-0.006089,0.007189,-36.513275,0.008209,-0.019000,-0.009800,-0.011999,0.002199,0.449388,0.002676,-0.029000,-0.015700,-0.017909,0.002209,0.235239,0.004140,-0.009000,-0.003600,-0.006089,0.002489,-2.457669,0.003686,-0.018800,-0.010000,-0.011880,0.001880,0.745577,0.002105,-0.008800,-0.013800,-0.005970,-0.007830,-6.436407,0.014974
-10.000000,-0.014000,0.000700,-0.006110,0.006810,-6.348857,0.006847,-0.029000,-0.013700,-0.014975,0.001275,0.915310,0.001880,-0.034000,-0.018400,-0.017930,-0.000470,0.791962,0.003580,-0.009000,0.001000,-0.003155,0.004155,-36.513275,0.008209,-0.024000,-0.010600,-0.012020,0.001420,0.449388,0.002676,-0.029000,-0.016000,-0.014975,-0.001025,0.235239,0.004140,-0.014000,-0.004200,-0.006110,0.001910,-2.457669,0.003686,-0.018800,-0.010100,-0.008947,-0.001153,0.745577,0.002105,-0.013800,-0.014200,-0.005992,-0.008208,-6.436407,0.014974
-20.000000,-0.014000,0.001400,-0.003293,0.004693,-6.348857,0.006847,-0.029000,-0.014000,-0.012158,-0.001842,0.915310,0.001880,-0.039000,-0.019400,-0.018068,-0.001332,0.791962,0.003580,-0.009000,0.001300,-0.000338,0.001638,-36.513275,0.008209,-0.024000,-0.010300,-0.009203,-0.001097,0.449388,0.002676,-0.034000,-0.016100,-0.015113,-0.000987,0.235239,0.004140,-0.014000,-0.004100,-0.003293,-0.000807,-2.457669,0.003686,-0.018800,-0.010900,-0.006130,-0.004770,0.745577,0.002105,-0.013800,-0.014300,-0.003175,-0.011125,-6.436407,0.014974
-30.000000,-0.019000,0.000200,-0.003562,0.003762,-6.348857,0.006847,-0.039000,-0.015200,-0.015382,0.000182,0.915310,0.001880,-0.044000,-0.021100,-0.018337,-0.002763,0.791962,0.003580,-0.019000,0.000600,-0.003562,0.004162,-36.513275,0.008209,-0.029000,-0.011200,-0.009472,-0.001728,0.449388,0.002676,-0.044000,-0.017200,-0.018337,0.001137,0.235239,0.004140,-0.019000,-0.004400,-0.003562,-0.000838,-2.457669,0.003686,-0.028800,-0.011900,-0.009354,-0.002546,0.745577,0.002105,-0.018800,-0.015700,-0.003444,-0.012256,-6.436407,0.014974
-40.000000,-0.024000,-0.001000,-0.003978,0.002978,-6.348857,0.006847,-0.044000,-0.016000,-0.015798,-0.000202,0.915310,0.001880,-0.049000,-0.022500,-0.018753,-0.003747,0.791962,0.003580,-0.024000,0.000300,-0.003978,0.004278,-36.513275,0.008209,-0.039000,-0.011800,-0.012843,0.001043,0.449388,0.002676,-0.049000,-0.018300,-0.018753,0.000453,0.235239,0.004140,-0.024000,-0.005200,-0.003978,-0.001222,-2.457669,0.003686,-0.033800,-0.012100,-0.009770,-0.002330,0.745577,0.002105,-0.023800,-0.016400,-0.003859,-0.012541,-6.436407,0.014974
-50.000000,-0.029000,-0.000600,-0.004555,0.003955,-6.348857,0.006847,-0.049000,-0.016900,-0.016375,-0.000525,0.915310,0.001880,-0.054000,-0.023100,-0.019330,-0.003770,0.791962,0.003580,-0.034000,0.000100,-0.007510,0.007610,-36.513275,0.008209,-0.044000,-0.013300,-0.013420,0.000120,0.449388,0.002676,-0.054000,-0.019100,-0.019330,0.000230,0.235239,0.004140,-0.034000,-0.005700,-0.007510,0.001810,-2.457669,0.003686,-0.043800,-0.012900,-0.013302,0.000402,0.745577,0.002105,-0.028800,-0.017600,-0.004436,-0.013164,-6.436407,0.014974
-60.000000,-0.039000,-0.002000,-0.008263,0.006263,-6.348857,0.006847,-0.054000,-0.018200,-0.017128,-0.001072,0.915310,0.001880,-0.064000,-0.024500,-0.023039,-0.001461,0.791962,0.003580,-0.034000,-0.000600,-0.005308,0.004708,-36.513275,0.008209,-0.049000,-0.013000,-0.014173,0.001173,0.449388,0.002676,-0.059000,-0.019900,-0.020083,0.000183,0.235239,0.004140,-0.039000,-0.005800,-0.008263,0.002463,-2.457669,0.003686,-0.043800,-0.013200,-0.011100,-0.002100,0.745577,0.002105,-0.033800,-0.017900,-0.005190,-0.012710,-6.436407,0.014974
-70.000000,-0.039000,-0.001300,-0.006253,0.004953,-6.348857,0.006847,-0.059000,-0.018400,-0.018073,-0.000327,0.915310,0.001880,-0.074000,-0.025300,-0.026939,0.001639,0.791962,0.003580,-0.034000,0.000300,-0.003298,0.003598,-36.513275,0.008209,-0.049000,-0.012800,-0.012163,-0.000637,0.449388,0.002676,-0.064000,-0.020000,-0.021029,0.001029,0.235239,0.004140,-0.039000,-0.005600,-0.006253,0.000653,-2.457669,0.003686,-0.048800,-0.013800,-0.012045,-0.001755,0.745577,0.002105,-0.038800,-0.018000,-0.006135,-0.011865,-6.436407,0.014974
-80.000000,-0.044000,-0.001900,-0.007405,0.005505,-6.348857,0.006847,-0.069000,-0.019200,-0.022180,0.002980,0.915310,0.001880,-0.074000,-0.026300,-0.025135,-0.001165,0.791962,0.003580,-0.044000,-0.000300,-0.007405,0.007105,-36.513275,0.008209,-0.059000,-0.013900,-0.016270,0.002370,0.449388,0.002676,-0.069000,-0.021300,-0.022180,0.000880,0.235239,0.004140,-0.044000,-0.005800,-0.007405,0.001605,-2.457669,0.003686,-0.053800,-0.014300,-0.013197,-0.001103,0.745577,0.002105,-0.043800,-0.019200,-0.007287,-0.011913,-6.436407,0.014974
-90.000000,-0.049000,-0.002200,-0.008778,0.006578,-6.348857,0.006847,-0.069000,-0.020000,-0.020598,0.000598,0.915310,0.001880,-0.074000,-0.027600,-0.023553,-0.004047,0.791962,0.003580,-0.049000,0.000400,-0.008778,0.009178,-36.513275,0.008209,-0.064000,-0.014700,-0.017643,0.002943,0.449388,0.002676,-0.079000,-0.022300,-0.026508,0.004208,0.235239,0.004140,-0.049000,-0.006700,-0.008778,0.002078,-2.457669,0.003686,-0.058800,-0.015000,-0.014570,-0.000430,0.745577,0.002105,-0.043800,-0.019900,-0.005705,-0.014195,-6.436407,0.014974
