Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1模型拟合误差(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2模型拟合误差(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3模型拟合误差(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4模型拟合误差(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5模型拟合误差(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6模型拟合误差(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7模型拟合误差(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8模型拟合误差(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9模型拟合误差(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
0.000000,-0.009000,0.000600,-0.000993,0.001593,-15.181335,0.010160,-0.024000,-0.012100,-0.005939,-0.006161,0.330942,0.005284,-0.029000,-0.018000,-0.007588,-0.010412,-0.410527,0.009321,-0.009000,0.001100,-0.000993,0.002093,-76.648824,0.011811,-0.019000,-0.009800,-0.004290,-0.005510,-0.276419,0.004075,-0.029000,-0.015700,-0.007588,-0.008112,-0.831516,0.006406,-0.009000,-0.003600,-0.000993,-0.002607,-11.207293,0.006926,-0.018800,-0.010000,-0.004224,-0.005776,0.186552,0.003765,-0.008800,-0.013800,-0.000927,-0.012873,-3.581438,0.011754
-10.000000,-0.014000,0.000700,-0.002642,0.003342,-15.181335,0.010160,-0.029000,-0.013700,-0.007588,-0.006112,0.330942,0.005284,-0.034000,-0.018400,-0.009236,-0.009164,-0.410527,0.009321,-0.009000,0.001000,-0.000993,0.001993,-76.648824,0.011811,-0.024000,-0.010600,-0.005939,-0.004661,-0.276419,0.004075,-0.029000,-0.016000,-0.007588,-0.008412,-0.831516,0.006406,-0.014000,-0.004200,-0.002642,-0.001558,-11.207293,0.006926,-0.018800,-0.010100,-0.004224,-0.005876,0.186552,0.003765,-0.013800,-0.014200,-0.002576,-0.011624,-3.581438,0.011754
-20.000000,-0.014000,0.001400,-0.002642,0.004042,-15.181335,0.010160,-0.029000,-0.014000,-0.007588,-0.006412,0.330942,0.005284,-0.039000,-0.019400,-0.010885,-0.008515,-0.410527,0.009321,-0.009000,0.001300,-0.000993,0.002293,-76.648824,0.011811,-0.024000,-0.010300,-0.005939,-0.004361,-0.276419,0.004075,-0.034000,-0.016100,-0.009236,-0.006864,-0.831516,0.006406,-0.014000,-0.004100,-0.002642,-0.001458,-11.207293,0.006926,-0.018800,-0.010900,-0.004224,-0.006676,0.186552,0.003765,-0.013800,-0.014300,-0.002576,-0.011724,-3.581438,0.011754
-30.000000,-0.019000,0.000200,-0.004290,0.004490,-15.181335,0.010160,-0.039000,-0.015200,-0.010885,-0.004315,0.330942,0.005284,-0.044000,-0.021100,-0.012533,-0.008567,-0.410527,0.009321,-0.019000,0.000600,-0.004290,0.004890,-76.648824,0.011811,-0.029000,-0.011200,-0.007588,-0.003612,-0.276419,0.004075,-0.044000,-0.017200,-0.012533,-0.004667,-0.831516,0.006406,-0.019000,-0.004400,-0.004290,-0.000110,-11.207293,0.006926,-0.028800,-0.011900,-0.007522,-0.004378,0.186552,0.003765,-0.018800,-0.015700,-0.004224,-0.011476,-3.581438,0.011754
-40.000000,-0.024000,-0.001000,-0.005939,0.004939,-15.181335,0.010160,-0.044000,-0.016000,-0.012533,-0.003467,0.330942,0.005284,-0.049000,-0.022500,-0.014182,-0.008318,-0.410527,0.009321,-0.024000,0.000300,-0.005939,0.006239,-76.648824,0.011811,-0.039000,-0.011800,-0.010885,-0.000915,-0.276419,0.004075,-0.049000,-0.018300,-0.014182,-0.004118,-0.831516,0.006406,-0.024000,-0.005200,-0.005939,0.000739,-11.207293,0.006926,-0.033800,-0.012100,-0.009170,-0.002930,0.186552,0.003765,-0.023800,-0.016400,-0.005873,-0.010527,-3.581438,0.011754
-50.000000,-0.029000,-0.000600,-0.007588,0.006988,-15.181335,0.010160,-0.049000,-0.016900,-0.014182,-0.002718,0.330942,0.005284,-0.054000,-0.023100,-0.015830,-0.007270,-0.410527,0.009321,-0.034000,0.000100,-0.009236,0.009336,-76.648824,0.011811,-0.044000,-0.013300,-0.012533,-0.000767,-0.276419,0.004075,-0.054000,-0.019100,-0.015830,-0.003270,-0.831516,0.006406,-0.034000,-0.005700,-0.009236,0.003536,-11.207293,0.006926,-0.043800,-0.012900,-0.012467,-0.000433,0.186552,0.003765,-0.028800,-0.017600,-0.007522,-0.010078,-3.581438,0.011754
-60.000000,-0.039000,-0.002000,-0.010885,0.008885,-15.181335,0.010160,-0.054000,-0.018200,-0.015830,-0.002370,0.330942,0.005284,-0.064000,-0.024500,-0.019127,-0.005373,-0.410527,0.009321,-0.034000,-0.000600,-0.009236,0.008636,-76.648824,0.011811,-0.049000,-0.013000,-0.014182,0.001182,-0.276419,0.004075,-0.059000,-0.019900,-0.017479,-0.002421,-0.831516,0.006406,-0.039000,-0.005800,-0.010885,0.005085,-11.207293,0.006926,-0.043800,-0.013200,-0.012467,-0.000733,0.186552,0.003765,-0.033800,-0.017900,-0.009170,-0.008730,-3.581438,0.011754
-70.000000,-0.039000,-0.001300,-0.010885,0.009585,-15.181335,0.010160,-0.059000,-0.018400,-0.017479,-0.000921,0.330942,0.005284,-0.074000,-0.025300,-0.022424,-0.002876,-0.410527,0.009321,-0.034000,0.000300,-0.009236,0.009536,-76.648824,0.011811,-0.049000,-0.012800,-0.014182,0.001382,-0.276419,0.004075,-0.064000,-0.020000,-0.019127,-0.000873,-0.831516,0.006406,-0.039000,-0.005600,-0.010885,0.005285,-11.207293,0.006926,-0.048800,-0.013800,-0.014116,0.000316,0.186552,0.003765,-0.038800,-0.018000,-0.010819,-0.007181,-3.581438,0.011754
-80.000000,-0.044000,-0.001900,-0.012533,0.010633,-15.181335,0.010160,-0.069000,-0.019200,-0.020776,0.001576,0.330942,0.005284,-0.074000,-0.026300,-0.022424,-0.003876,-0.410527,0.009321,-0.044000,-0.000300,-0.012533,0.012233,-76.648824,0.011811,-0.059000,-0.013900,-0.017479,0.003579,-0.276419,0.004075,-0.069000,-0.021300,-0.020776,-0.000524,-0.831516,0.006406,-0.044000,-0.005800,-0.012533,0.006733,-11.207293,0.006926,-0.053800,-0.014300,-0.015764,0.001464,0.186552,0.003765,-0.043800,-0.019200,-0.012467,-0.006733,-3.581438,0.011754
-90.000000,-0.049000,-0.002200,-0.014182,0.011982,-15.181335,0.010160,-0.069000,-0.020000,-0.020776,0.000776,0.330942,0.005284,-0.074000,-0.027600,-0.022424,-0.005176,-0.410527,0.009321,-0.049000,0.000400,-0.014182,0.014582,-76.648824,0.011811,-0.064000,-0.014700,-0.019127,0.004427,-0.276419,0.004075,-0.079000,-0.022300,-0.024073,0.001773,-0.831516,0.006406,-0.049000,-0.006700,-0.014182,0.007482,-11.207293,0.006926,-0.058800,-0.015000,-0.017413,0.002413,0.186552,0.003765,-0.043800,-0.019900,-0.012467,-0.007433,-3.581438,0.011754
