Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1模型拟合误差(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2模型拟合误差(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3模型拟合误差(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4模型拟合误差(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5模型拟合误差(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6模型拟合误差(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7模型拟合误差(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8模型拟合误差(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9模型拟合误差(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
0.000000,-0.005800,0.001100,-0.001922,0.003022,-432519254.734782,49.786337,-0.021000,-0.012300,-0.014686,0.002386,-63922897.677842,49.785012,-0.026800,-0.017700,-0.019556,0.001856,-43270019.481151,49.785065,-0.003100,0.001300,0.000345,0.000955,-1707683785.223669,49.786725,-0.015500,-0.009800,-0.010067,0.000267,-207635082.563942,49.785465,-0.020300,-0.015700,-0.014098,-0.001602,-119939797.565540,49.784752,-0.005600,-0.003800,-0.001755,-0.002045,-710494181.476502,49.783802,-0.013200,-0.009800,-0.008136,-0.001664,-153617151.218148,49.783687,-0.015600,-0.013100,-0.010151,-0.002949,-88880051.401695,49.782878
-1.000000,-0.006400,0.001000,-70.554910,70.555910,-432519254.734782,49.786337,-0.021700,-0.012400,-70.567757,70.555357,-63922897.677842,49.785012,-0.027500,-0.017800,-70.572628,70.554828,-43270019.481151,49.785065,-0.003700,0.001200,-70.552643,70.553843,-1707683785.223669,49.786725,-0.016200,-0.009800,-70.563139,70.553339,-207635082.563942,49.785465,-0.020900,-0.015700,-70.567086,70.551386,-119939797.565540,49.784752,-0.006300,-0.003800,-70.554826,70.551026,-710494181.476502,49.783802,-0.013800,-0.009900,-70.561124,70.551224,-153617151.218148,49.783687,-0.016300,-0.013200,-70.563223,70.550023,-88880051.401695,49.782878
-2.000000,-0.007000,0.001000,-0.001989,0.002989,-432519254.734782,49.786337,-0.022300,-0.012500,-0.014836,0.002336,-63922897.677842,49.785012,-0.028100,-0.017900,-0.019706,0.001806,-43270019.481151,49.785065,-0.004400,0.001200,0.000194,0.001006,-1707683785.223669,49.786725,-0.016800,-0.009900,-0.010218,0.000318,-207635082.563942,49.785465,-0.021600,-0.015800,-0.014249,-0.001551,-119939797.565540,49.784752,-0.006900,-0.003800,-0.001905,-0.001895,-710494181.476502,49.783802,-0.014400,-0.009900,-0.008203,-0.001697,-153617151.218148,49.783687,-0.016900,-0.013300,-0.010302,-0.002998,-88880051.401695,49.782878
-3.000000,-0.007600,0.001000,-70.554981,70.555981,-432519254.734782,49.786337,-0.023000,-0.012600,-70.567912,70.555312,-63922897.677842,49.785012,-0.028800,-0.018000,-70.572782,70.554782,-43270019.481151,49.785065,-0.005000,0.001200,-70.552798,70.553998,-1707683785.223669,49.786725,-0.017400,-0.009900,-70.563210,70.553310,-207635082.563942,49.785465,-0.022200,-0.015900,-70.567240,70.551340,-119939797.565540,49.784752,-0.007500,-0.003800,-70.554897,70.551097,-710494181.476502,49.783802,-0.015000,-0.010000,-70.561194,70.551194,-153617151.218148,49.783687,-0.017600,-0.013400,-70.563378,70.549978,-88880051.401695,49.782878
-4.000000,-0.008100,0.000900,-0.001979,0.002879,-432519254.734782,49.786337,-0.023700,-0.012700,-0.015078,0.002378,-63922897.677842,49.785012,-0.029500,-0.018100,-0.019948,0.001848,-43270019.481151,49.785065,-0.005600,0.001200,0.000120,0.001080,-1707683785.223669,49.786725,-0.018100,-0.010000,-0.010376,0.000376,-207635082.563942,49.785465,-0.022800,-0.015900,-0.014323,-0.001577,-119939797.565540,49.784752,-0.008100,-0.003900,-0.001979,-0.001921,-710494181.476502,49.783802,-0.015600,-0.010000,-0.008277,-0.001723,-153617151.218148,49.783687,-0.018300,-0.013400,-0.010544,-0.002856,-88880051.401695,49.782878
-5.000000,-0.008700,0.000900,-70.554975,70.555875,-432519254.734782,49.786337,-0.024300,-0.012800,-70.568074,70.555274,-63922897.677842,49.785012,-0.030200,-0.018300,-70.573028,70.554728,-43270019.481151,49.785065,-0.006200,0.001200,-70.552876,70.554076,-1707683785.223669,49.786725,-0.018700,-0.010000,-70.563371,70.553371,-207635082.563942,49.785465,-0.023500,-0.016000,-70.567402,70.551402,-119939797.565540,49.784752,-0.008700,-0.003900,-70.554975,70.551075,-710494181.476502,49.783802,-0.016200,-0.010100,-70.561272,70.551172,-153617151.218148,49.783687,-0.018900,-0.013500,-70.563539,70.550039,-88880051.401695,49.782878
-6.000000,-0.009200,0.000900,-0.001977,0.002877,-432519254.734782,49.786337,-0.024900,-0.012900,-0.015160,0.002260,-63922897.677842,49.785012,-0.030800,-0.018400,-0.020114,0.001714,-43270019.481151,49.785065,-0.006900,0.001200,-0.000046,0.001246,-1707683785.223669,49.786725,-0.019300,-0.010100,-0.010458,0.000358,-207635082.563942,49.785465,-0.024100,-0.016000,-0.014488,-0.001512,-119939797.565540,49.784752,-0.009300,-0.003900,-0.002061,-0.001839,-710494181.476502,49.783802,-0.016800,-0.010100,-0.008359,-0.001741,-153617151.218148,49.783687,-0.019600,-0.013600,-0.010710,-0.002890,-88880051.401695,49.782878
-7.000000,-0.009800,0.000800,-70.554976,70.555776,-432519254.734782,49.786337,-0.025600,-0.012900,-70.568243,70.555343,-63922897.677842,49.785012,-0.031500,-0.018500,-70.573197,70.554697,-43270019.481151,49.785065,-0.007500,0.001100,-70.553045,70.554145,-1707683785.223669,49.786725,-0.019900,-0.010100,-70.563457,70.553357,-207635082.563942,49.785465,-0.024700,-0.016100,-70.567487,70.551387,-119939797.565540,49.784752,-0.009900,-0.003900,-70.555060,70.551160,-710494181.476502,49.783802,-0.017400,-0.010200,-70.561358,70.551158,-153617151.218148,49.783687,-0.020200,-0.013700,-70.563709,70.550009,-88880051.401695,49.782878
-8.000000,-0.010400,0.000800,-0.002066,0.002866,-432519254.734782,49.786337,-0.026200,-0.013000,-0.015333,0.002333,-63922897.677842,49.785012,-0.032100,-0.018600,-0.020287,0.001687,-43270019.481151,49.785065,-0.008100,0.001100,-0.000135,0.001235,-1707683785.223669,49.786725,-0.020500,-0.010200,-0.010547,0.000347,-207635082.563942,49.785465,-0.025400,-0.016200,-0.014661,-0.001539,-119939797.565540,49.784752,-0.010500,-0.004000,-0.002150,-0.001850,-710494181.476502,49.783802,-0.017900,-0.010300,-0.008364,-0.001936,-153617151.218148,49.783687,-0.020900,-0.013700,-0.010883,-0.002817,-88880051.401695,49.782878
-9.000000,-0.010900,0.000800,-70.554985,70.555785,-432519254.734782,49.786337,-0.026900,-0.013100,-70.568420,70.555320,-63922897.677842,49.785012,-0.032800,-0.018700,-70.573374,70.554674,-43270019.481151,49.785065,-0.008700,0.001100,-70.553138,70.554238,-1707683785.223669,49.786725,-0.021200,-0.010200,-70.563634,70.553434,-207635082.563942,49.785465,-0.026000,-0.016200,-70.567664,70.551464,-119939797.565540,49.784752,-0.011100,-0.004000,-70.555153,70.551153,-710494181.476502,49.783802,-0.018500,-0.010300,-70.561367,70.551067,-153617151.218148,49.783687,-0.021500,-0.013800,-70.563886,70.550086,-88880051.401695,49.782878
