Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1预测值(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2预测值(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3预测值(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4预测值(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5预测值(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6预测值(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7预测值(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8预测值(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9预测值(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
0.000000,-0.009000,0.000600,0.000600,0.000000,1.000000,0.000000,-0.024000,-0.012100,-0.014400,0.002300,0.780567,0.003026,-0.029000,-0.018000,-0.019400,0.001400,0.699492,0.004302,-0.009000,0.001100,0.000600,0.000500,-3.874247,0.002959,-0.019000,-0.009800,-0.009400,-0.000400,0.731104,0.001870,-0.024000,-0.015700,-0.014400,-0.001300,0.672087,0.002711,-0.009000,-0.003600,0.000600,-0.004200,-3.171281,0.004049,-0.018800,-0.010000,-0.009200,-0.000800,0.359034,0.003342,-0.018800,-0.013800,-0.009200,-0.004600,0.689616,0.003059
-10.000000,-0.014000,0.000700,0.000700,0.000000,1.000000,0.000000,-0.029000,-0.013700,-0.014300,0.000600,0.780567,0.003026,-0.034000,-0.018400,-0.019300,0.000900,0.699492,0.004302,-0.009000,0.001000,0.005700,-0.004700,-3.874247,0.002959,-0.024000,-0.010600,-0.009300,-0.001300,0.731104,0.001870,-0.029000,-0.016000,-0.014300,-0.001700,0.672087,0.002711,-0.014000,-0.004200,0.000700,-0.004900,-3.171281,0.004049,-0.018800,-0.010100,-0.004100,-0.006000,0.359034,0.003342,-0.023800,-0.014200,-0.009100,-0.005100,0.689616,0.003059
-20.000000,-0.014000,0.001400,0.001400,0.000000,1.000000,0.000000,-0.029000,-0.014000,-0.013600,-0.000400,0.780567,0.003026,-0.039000,-0.019400,-0.023600,0.004200,0.699492,0.004302,-0.009000,0.001300,0.006400,-0.005100,-3.874247,0.002959,-0.024000,-0.010300,-0.008600,-0.001700,0.731104,0.001870,-0.029000,-0.016100,-0.013600,-0.002500,0.672087,0.002711,-0.014000,-0.004100,0.001400,-0.005500,-3.171281,0.004049,-0.018800,-0.010900,-0.003400,-0.007500,0.359034,0.003342,-0.023800,-0.014300,-0.008400,-0.005900,0.689616,0.003059
-30.000000,-0.019000,0.000200,0.000200,0.000000,1.000000,0.000000,-0.039000,-0.015200,-0.019800,0.004600,0.780567,0.003026,-0.044000,-0.021100,-0.024800,0.003700,0.699492,0.004302,-0.019000,0.000600,0.000200,0.000400,-3.874247,0.002959,-0.029000,-0.011200,-0.009800,-0.001400,0.731104,0.001870,-0.034000,-0.017200,-0.014800,-0.002400,0.672087,0.002711,-0.019000,-0.004400,0.000200,-0.004600,-3.171281,0.004049,-0.028800,-0.011900,-0.009600,-0.002300,0.359034,0.003342,-0.033700,-0.015700,-0.014500,-0.001200,0.689616,0.003059
-40.000000,-0.024000,-0.001000,-0.001000,0.000000,1.000000,0.000000,-0.044000,-0.016000,-0.021000,0.005000,0.780567,0.003026,-0.049000,-0.022500,-0.026000,0.003500,0.699492,0.004302,-0.024000,0.000300,-0.001000,0.001300,-3.874247,0.002959,-0.039000,-0.011800,-0.016000,0.004200,0.731104,0.001870,-0.044000,-0.018300,-0.021000,0.002700,0.672087,0.002711,-0.024000,-0.005200,-0.001000,-0.004200,-3.171281,0.004049,-0.033800,-0.012100,-0.010800,-0.001300,0.359034,0.003342,-0.038800,-0.016400,-0.015800,-0.000600,0.689616,0.003059
-50.000000,-0.029000,-0.000600,-0.000600,0.000000,1.000000,0.000000,-0.049000,-0.016900,-0.020600,0.003700,0.780567,0.003026,-0.054000,-0.023100,-0.025600,0.002500,0.699492,0.004302,-0.034000,0.000100,-0.005600,0.005700,-3.874247,0.002959,-0.044000,-0.013300,-0.015600,0.002300,0.731104,0.001870,-0.049000,-0.019100,-0.020600,0.001500,0.672087,0.002711,-0.034000,-0.005700,-0.005600,-0.000100,-3.171281,0.004049,-0.043800,-0.012900,-0.015400,0.002500,0.359034,0.003342,-0.043800,-0.017600,-0.015400,-0.002200,0.689616,0.003059
-60.000000,-0.039000,-0.002000,-0.002000,0.000000,1.000000,0.000000,-0.054000,-0.018200,-0.017000,-0.001200,0.780567,0.003026,-0.064000,-0.024500,-0.027000,0.002500,0.699492,0.004302,-0.034000,-0.000600,0.003000,-0.003600,-3.874247,0.002959,-0.049000,-0.013000,-0.012000,-0.001000,0.731104,0.001870,-0.054000,-0.019900,-0.017000,-0.002900,0.672087,0.002711,-0.039000,-0.005800,-0.002000,-0.003800,-3.171281,0.004049,-0.043800,-0.013200,-0.006800,-0.006400,0.359034,0.003342,-0.053800,-0.017900,-0.016800,-0.001100,0.689616,0.003059
-70.000000,-0.039000,-0.001300,-0.001300,0.000000,1.000000,0.000000,-0.059000,-0.018400,-0.021300,0.002900,0.780567,0.003026,-0.074000,-0.025300,-0.036300,0.011000,0.699492,0.004302,-0.034000,0.000300,0.003700,-0.003400,-3.874247,0.002959,-0.049000,-0.012800,-0.011300,-0.001500,0.731104,0.001870,-0.059000,-0.020000,-0.021300,0.001300,0.672087,0.002711,-0.039000,-0.005600,-0.001300,-0.004300,-3.171281,0.004049,-0.048800,-0.013800,-0.011100,-0.002700,0.359034,0.003342,-0.053800,-0.018000,-0.016100,-0.001900,0.689616,0.003059
-80.000000,-0.044000,-0.001900,-0.001900,0.000000,1.000000,0.000000,-0.069000,-0.019200,-0.026900,0.007700,0.780567,0.003026,-0.074000,-0.026300,-0.031900,0.005600,0.699492,0.004302,-0.044000,-0.000300,-0.001900,0.001600,-3.874247,0.002959,-0.059000,-0.013900,-0.016900,0.003000,0.731104,0.001870,-0.064000,-0.021300,-0.021900,0.000600,0.672087,0.002711,-0.044000,-0.005800,-0.001900,-0.003900,-3.171281,0.004049,-0.053800,-0.014300,-0.011700,-0.002600,0.359034,0.003342,-0.058800,-0.019200,-0.016700,-0.002500,0.689616,0.003059
-90.000000,-0.049000,-0.002200,-0.002200,0.000000,1.000000,0.000000,-0.069000,-0.020000,-0.022200,0.002200,0.780567,0.003026,-0.074000,-0.027600,-0.027200,-0.000400,0.699492,0.004302,-0.049000,0.000400,-0.002200,0.002600,-3.874247,0.002959,-0.064000,-0.014700,-0.017200,0.002500,0.731104,0.001870,-0.069000,-0.022300,-0.022200,-0.000100,0.672087,0.002711,-0.049000,-0.006700,-0.002200,-0.004500,-3.171281,0.004049,-0.058800,-0.015000,-0.012000,-0.003000,0.359034,0.003342,-0.063800,-0.019900,-0.017000,-0.002900,0.689616,0.003059
