Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1模型拟合误差(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2模型拟合误差(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3模型拟合误差(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4模型拟合误差(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5模型拟合误差(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6模型拟合误差(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7模型拟合误差(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8模型拟合误差(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9模型拟合误差(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
0.000000,-0.009000,0.000600,-0.004609,0.005209,-0.332478,0.002916,-0.024000,-0.012100,-0.017205,0.005105,0.852989,0.002477,-0.029000,-0.018000,-0.021403,0.003403,0.884886,0.002663,-0.009000,0.001100,-0.004609,0.005709,-7.876982,0.003993,-0.019000,-0.009800,-0.013006,0.003206,0.535138,0.002459,-0.024000,-0.015700,-0.017205,0.001505,0.774777,0.002247,-0.009000,-0.003600,-0.004609,0.001009,-0.865636,0.002708,-0.018800,-0.010000,-0.012838,0.002838,0.439787,0.003124,-0.018800,-0.013800,-0.012838,-0.000962,0.578431,0.003565
-10.000000,-0.014000,0.000700,-0.004178,0.004878,-0.332478,0.002916,-0.029000,-0.013700,-0.016774,0.003074,0.852989,0.002477,-0.034000,-0.018400,-0.020972,0.002572,0.884886,0.002663,-0.009000,0.001000,0.000020,0.000980,-7.876982,0.003993,-0.024000,-0.010600,-0.012575,0.001975,0.535138,0.002459,-0.029000,-0.016000,-0.016774,0.000774,0.774777,0.002247,-0.014000,-0.004200,-0.004178,-0.000022,-0.865636,0.002708,-0.018800,-0.010100,-0.008209,-0.001891,0.439787,0.003124,-0.023800,-0.014200,-0.012407,-0.001793,0.578431,0.003565
-20.000000,-0.014000,0.001400,0.000253,0.001147,-0.332478,0.002916,-0.029000,-0.014000,-0.012342,-0.001658,0.852989,0.002477,-0.039000,-0.019400,-0.020738,0.001338,0.884886,0.002663,-0.009000,0.001300,0.004452,-0.003152,-7.876982,0.003993,-0.024000,-0.010300,-0.008143,-0.002157,0.535138,0.002459,-0.029000,-0.016100,-0.012342,-0.003758,0.774777,0.002247,-0.014000,-0.004100,0.000253,-0.004353,-0.865636,0.002708,-0.018800,-0.010900,-0.003777,-0.007123,0.439787,0.003124,-0.023800,-0.014300,-0.007975,-0.006325,0.578431,0.003565
-30.000000,-0.019000,0.000200,0.000272,-0.000072,-0.332478,0.002916,-0.039000,-0.015200,-0.016521,0.001321,0.852989,0.002477,-0.044000,-0.021100,-0.020720,-0.000380,0.884886,0.002663,-0.019000,0.000600,0.000272,0.000328,-7.876982,0.003993,-0.029000,-0.011200,-0.008125,-0.003075,0.535138,0.002459,-0.034000,-0.017200,-0.012323,-0.004877,0.774777,0.002247,-0.019000,-0.004400,0.000272,-0.004672,-0.865636,0.002708,-0.028800,-0.011900,-0.007957,-0.003943,0.439787,0.003124,-0.033700,-0.015700,-0.012071,-0.003629,0.578431,0.003565
-40.000000,-0.024000,-0.001000,0.000058,-0.001058,-0.332478,0.002916,-0.044000,-0.016000,-0.016735,0.000735,0.852989,0.002477,-0.049000,-0.022500,-0.020934,-0.001566,0.884886,0.002663,-0.024000,0.000300,0.000058,0.000242,-7.876982,0.003993,-0.039000,-0.011800,-0.012537,0.000737,0.535138,0.002459,-0.044000,-0.018300,-0.016735,-0.001565,0.774777,0.002247,-0.024000,-0.005200,0.000058,-0.005258,-0.865636,0.002708,-0.033800,-0.012100,-0.008171,-0.003929,0.439787,0.003124,-0.038800,-0.016400,-0.012369,-0.004031,0.578431,0.003565
-50.000000,-0.029000,-0.000600,-0.000406,-0.000194,-0.332478,0.002916,-0.049000,-0.016900,-0.017199,0.000299,0.852989,0.002477,-0.054000,-0.023100,-0.021398,-0.001702,0.884886,0.002663,-0.034000,0.000100,-0.004604,0.004704,-7.876982,0.003993,-0.044000,-0.013300,-0.013001,-0.000299,0.535138,0.002459,-0.049000,-0.019100,-0.017199,-0.001901,0.774777,0.002247,-0.034000,-0.005700,-0.004604,-0.001096,-0.865636,0.002708,-0.043800,-0.012900,-0.012833,-0.000067,0.439787,0.003124,-0.043800,-0.017600,-0.012833,-0.004767,0.578431,0.003565
-60.000000,-0.039000,-0.002000,-0.005336,0.003336,-0.332478,0.002916,-0.054000,-0.018200,-0.017931,-0.000269,0.852989,0.002477,-0.064000,-0.024500,-0.026328,0.001828,0.884886,0.002663,-0.034000,-0.000600,-0.001138,0.000538,-7.876982,0.003993,-0.049000,-0.013000,-0.013733,0.000733,0.535138,0.002459,-0.054000,-0.019900,-0.017931,-0.001969,0.774777,0.002247,-0.039000,-0.005800,-0.005336,-0.000464,-0.865636,0.002708,-0.043800,-0.013200,-0.009367,-0.003833,0.439787,0.003124,-0.053800,-0.017900,-0.017763,-0.000137,0.578431,0.003565
-70.000000,-0.039000,-0.001300,-0.002155,0.000855,-0.332478,0.002916,-0.059000,-0.018400,-0.018948,0.000548,0.852989,0.002477,-0.074000,-0.025300,-0.031543,0.006243,0.884886,0.002663,-0.034000,0.000300,0.002044,-0.001744,-7.876982,0.003993,-0.049000,-0.012800,-0.010551,-0.002249,0.535138,0.002459,-0.059000,-0.020000,-0.018948,-0.001052,0.774777,0.002247,-0.039000,-0.005600,-0.002155,-0.003445,-0.865636,0.002708,-0.048800,-0.013800,-0.010384,-0.003416,0.439787,0.003124,-0.053800,-0.018000,-0.014582,-0.003418,0.578431,0.003565
-80.000000,-0.044000,-0.001900,-0.003475,0.001575,-0.332478,0.002916,-0.069000,-0.019200,-0.024466,0.005266,0.852989,0.002477,-0.074000,-0.026300,-0.028665,0.002365,0.884886,0.002663,-0.044000,-0.000300,-0.003475,0.003175,-7.876982,0.003993,-0.059000,-0.013900,-0.016070,0.002170,0.535138,0.002459,-0.064000,-0.021300,-0.020268,-0.001032,0.774777,0.002247,-0.044000,-0.005800,-0.003475,-0.002325,-0.865636,0.002708,-0.053800,-0.014300,-0.011703,-0.002597,0.439787,0.003124,-0.058800,-0.019200,-0.015902,-0.003298,0.578431,0.003565
-90.000000,-0.049000,-0.002200,-0.005115,0.002915,-0.332478,0.002916,-0.069000,-0.020000,-0.021908,0.001908,0.852989,0.002477,-0.074000,-0.027600,-0.026107,-0.001493,0.884886,0.002663,-0.049000,0.000400,-0.005115,0.005515,-7.876982,0.003993,-0.064000,-0.014700,-0.017710,0.003010,0.535138,0.002459,-0.069000,-0.022300,-0.021908,-0.000392,0.774777,0.002247,-0.049000,-0.006700,-0.005115,-0.001585,-0.865636,0.002708,-0.058800,-0.015000,-0.013344,-0.001656,0.439787,0.003124,-0.063800,-0.019900,-0.017542,-0.002358,0.578431,0.003565
