Z轴位置(mm),工况1磁栅误差(mm),工况1激光实测(mm),工况1模型拟合误差(mm),工况1残差(mm),工况1_R²,工况1_RMSE(mm),工况2磁栅误差(mm),工况2激光实测(mm),工况2模型拟合误差(mm),工况2残差(mm),工况2_R²,工况2_RMSE(mm),工况3磁栅误差(mm),工况3激光实测(mm),工况3模型拟合误差(mm),工况3残差(mm),工况3_R²,工况3_RMSE(mm),工况4磁栅误差(mm),工况4激光实测(mm),工况4模型拟合误差(mm),工况4残差(mm),工况4_R²,工况4_RMSE(mm),工况5磁栅误差(mm),工况5激光实测(mm),工况5模型拟合误差(mm),工况5残差(mm),工况5_R²,工况5_RMSE(mm),工况6磁栅误差(mm),工况6激光实测(mm),工况6模型拟合误差(mm),工况6残差(mm),工况6_R²,工况6_RMSE(mm),工况7磁栅误差(mm),工况7激光实测(mm),工况7模型拟合误差(mm),工况7残差(mm),工况7_R²,工况7_RMSE(mm),工况8磁栅误差(mm),工况8激光实测(mm),工况8模型拟合误差(mm),工况8残差(mm),工况8_R²,工况8_RMSE(mm),工况9磁栅误差(mm),工况9激光实测(mm),工况9模型拟合误差(mm),工况9残差(mm),工况9_R²,工况9_RMSE(mm)
0.000000,-0.009000,0.000600,0.002019,-0.001419,-12.449290,0.009263,-0.024000,-0.012100,-0.003649,-0.008451,0.219466,0.005707,-0.029000,-0.018000,-0.005538,-0.012462,-0.397020,0.009277,-0.009000,0.001100,0.002019,-0.000919,-64.281227,0.010830,-0.019000,-0.009800,-0.001760,-0.008040,-0.642308,0.004622,-0.024000,-0.015700,-0.003649,-0.012051,-0.651031,0.006083,-0.009000,-0.003600,0.002019,-0.005619,-9.543590,0.006437,-0.018800,-0.010000,-0.001684,-0.008316,-0.202003,0.004576,-0.018800,-0.013800,-0.001684,-0.012116,-0.412524,0.006526
-10.000000,-0.014000,0.000700,0.000130,0.000570,-12.449290,0.009263,-0.029000,-0.013700,-0.005538,-0.008162,0.219466,0.005707,-0.034000,-0.018400,-0.007427,-0.010973,-0.397020,0.009277,-0.009000,0.001000,0.002019,-0.001019,-64.281227,0.010830,-0.024000,-0.010600,-0.003649,-0.006951,-0.642308,0.004622,-0.029000,-0.016000,-0.005538,-0.010462,-0.651031,0.006083,-0.014000,-0.004200,0.000130,-0.004330,-9.543590,0.006437,-0.018800,-0.010100,-0.001684,-0.008416,-0.202003,0.004576,-0.023800,-0.014200,-0.003573,-0.010627,-0.412524,0.006526
-20.000000,-0.014000,0.001400,0.000130,0.001270,-12.449290,0.009263,-0.029000,-0.014000,-0.005538,-0.008462,0.219466,0.005707,-0.039000,-0.019400,-0.009317,-0.010083,-0.397020,0.009277,-0.009000,0.001300,0.002019,-0.000719,-64.281227,0.010830,-0.024000,-0.010300,-0.003649,-0.006651,-0.642308,0.004622,-0.029000,-0.016100,-0.005538,-0.010562,-0.651031,0.006083,-0.014000,-0.004100,0.000130,-0.004230,-9.543590,0.006437,-0.018800,-0.010900,-0.001684,-0.009216,-0.202003,0.004576,-0.023800,-0.014300,-0.003573,-0.010727,-0.412524,0.006526
-30.000000,-0.019000,0.000200,-0.001760,0.001960,-12.449290,0.009263,-0.039000,-0.015200,-0.009317,-0.005883,0.219466,0.005707,-0.044000,-0.021100,-0.011206,-0.009894,-0.397020,0.009277,-0.019000,0.000600,-0.001760,0.002360,-64.281227,0.010830,-0.029000,-0.011200,-0.005538,-0.005662,-0.642308,0.004622,-0.034000,-0.017200,-0.007427,-0.009773,-0.651031,0.006083,-0.019000,-0.004400,-0.001760,-0.002640,-9.543590,0.006437,-0.028800,-0.011900,-0.005463,-0.006437,-0.202003,0.004576,-0.033700,-0.015700,-0.007314,-0.008386,-0.412524,0.006526
-40.000000,-0.024000,-0.001000,-0.003649,0.002649,-12.449290,0.009263,-0.044000,-0.016000,-0.011206,-0.004794,0.219466,0.005707,-0.049000,-0.022500,-0.013095,-0.009405,-0.397020,0.009277,-0.024000,0.000300,-0.003649,0.003949,-64.281227,0.010830,-0.039000,-0.011800,-0.009317,-0.002483,-0.642308,0.004622,-0.044000,-0.018300,-0.011206,-0.007094,-0.651031,0.006083,-0.024000,-0.005200,-0.003649,-0.001551,-9.543590,0.006437,-0.033800,-0.012100,-0.007352,-0.004748,-0.202003,0.004576,-0.038800,-0.016400,-0.009241,-0.007159,-0.412524,0.006526
-50.000000,-0.029000,-0.000600,-0.005538,0.004938,-12.449290,0.009263,-0.049000,-0.016900,-0.013095,-0.003805,0.219466,0.005707,-0.054000,-0.023100,-0.014984,-0.008116,-0.397020,0.009277,-0.034000,0.000100,-0.007427,0.007527,-64.281227,0.010830,-0.044000,-0.013300,-0.011206,-0.002094,-0.642308,0.004622,-0.049000,-0.019100,-0.013095,-0.006005,-0.651031,0.006083,-0.034000,-0.005700,-0.007427,0.001727,-9.543590,0.006437,-0.043800,-0.012900,-0.011130,-0.001770,-0.202003,0.004576,-0.043800,-0.017600,-0.011130,-0.006470,-0.412524,0.006526
-60.000000,-0.039000,-0.002000,-0.009317,0.007317,-12.449290,0.009263,-0.054000,-0.018200,-0.014984,-0.003216,0.219466,0.005707,-0.064000,-0.024500,-0.018763,-0.005737,-0.397020,0.009277,-0.034000,-0.000600,-0.007427,0.006827,-64.281227,0.010830,-0.049000,-0.013000,-0.013095,0.000095,-0.642308,0.004622,-0.054000,-0.019900,-0.014984,-0.004916,-0.651031,0.006083,-0.039000,-0.005800,-0.009317,0.003517,-9.543590,0.006437,-0.043800,-0.013200,-0.011130,-0.002070,-0.202003,0.004576,-0.053800,-0.017900,-0.014909,-0.002991,-0.412524,0.006526
-70.000000,-0.039000,-0.001300,-0.009317,0.008017,-12.449290,0.009263,-0.059000,-0.018400,-0.016874,-0.001526,0.219466,0.005707,-0.074000,-0.025300,-0.022541,-0.002759,-0.397020,0.009277,-0.034000,0.000300,-0.007427,0.007727,-64.281227,0.010830,-0.049000,-0.012800,-0.013095,0.000295,-0.642308,0.004622,-0.059000,-0.020000,-0.016874,-0.003126,-0.651031,0.006083,-0.039000,-0.005600,-0.009317,0.003717,-9.543590,0.006437,-0.048800,-0.013800,-0.013020,-0.000780,-0.202003,0.004576,-0.053800,-0.018000,-0.014909,-0.003091,-0.412524,0.006526
-80.000000,-0.044000,-0.001900,-0.011206,0.009306,-12.449290,0.009263,-0.069000,-0.019200,-0.020652,0.001452,0.219466,0.005707,-0.074000,-0.026300,-0.022541,-0.003759,-0.397020,0.009277,-0.044000,-0.000300,-0.011206,0.010906,-64.281227,0.010830,-0.059000,-0.013900,-0.016874,0.002974,-0.642308,0.004622,-0.064000,-0.021300,-0.018763,-0.002537,-0.651031,0.006083,-0.044000,-0.005800,-0.011206,0.005406,-9.543590,0.006437,-0.053800,-0.014300,-0.014909,0.000609,-0.202003,0.004576,-0.058800,-0.019200,-0.016798,-0.002402,-0.412524,0.006526
-90.000000,-0.049000,-0.002200,-0.013095,0.010895,-12.449290,0.009263,-0.069000,-0.020000,-0.020652,0.000652,0.219466,0.005707,-0.074000,-0.027600,-0.022541,-0.005059,-0.397020,0.009277,-0.049000,0.000400,-0.013095,0.013495,-64.281227,0.010830,-0.064000,-0.014700,-0.018763,0.004063,-0.642308,0.004622,-0.069000,-0.022300,-0.020652,-0.001648,-0.651031,0.006083,-0.049000,-0.006700,-0.013095,0.006395,-9.543590,0.006437,-0.058800,-0.015000,-0.016798,0.001798,-0.202003,0.004576,-0.063800,-0.019900,-0.018687,-0.001213,-0.412524,0.006526
